[2025-05-25 15:34:40.865] [info]  DiscordSplash.signalReady
[2025-05-25 15:34:42.094] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-25 15:34:42.095] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-25 15:34:42.096] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-25 15:34:42.097] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-25 15:34:42.097] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-25 15:34:42.098] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-25 15:34:42.098] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-25 15:34:42.098] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-25 15:34:42.098] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-25 15:34:42.098] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-25 15:34:42.098] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-25 15:34:42.098] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-25 15:34:42.099] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-25 15:34:42.099] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-25 15:34:42.099] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-25 15:34:42.865] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-25 15:34:43.097] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-25 15:34:43.098] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-25 15:34:43.865] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-25 15:34:43.972] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-25 15:34:43.972] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-25 15:34:44.109] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-25 15:34:44.110] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-25 15:34:44.166] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-25 15:34:44.167] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-25 15:34:44.175] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
